word,pos
Who,NOUN
scattering,VERB
tabby,NOUN
sit,NOUN
FORBID,VERB
pretending,VERB
exactly,ADV
judging,NOUN
werewolves,NOUN
airily,ADV
shop,NOUN
Trevor,NOUN
shrieked,VERB
vapor,NOUN
quiet,ADJ
sleek,ADJ
sleepiness,NOUN
mercy,NOUN
',.
go,VERB
Ron,NOUN
babble,ADJ
Scowling,VERB
Wizarding,NOUN
Follow,VERB
smile,NOUN
gloomily,ADV
canary-yellow,ADJ
studying,VERB
shoot,VERB
mountains,NOUN
sleep,NOUN
Dotted,VERB
prevent,VERB
yeah,NOUN
Ye,NOUN
SO,NOUN
Mrs,NOUN
sea,NOUN
dragged,VERB
unfolding,VERB
annoying,VERB
CHARMS,NOUN
stoat,NOUN
pork,NOUN
When,ADV
cases,NOUN
whistled,VERB
scabby,ADJ
tub,NOUN
riffraff,NOUN
Sn-,NOUN
broad,ADJ
snigget,NOUN
Prewetts,NOUN
soul,NOUN
answer,VERB
serious,ADJ
lives,NOUN
sixteen,ADJ
yourself,PRON
around,PRT
wo,VERB
wave,NOUN
laden,ADJ
forbidden,VERB
pipe,NOUN
managed,VERB
crybabies,NOUN
Bogies,NOUN
mom,NOUN
open-,ADV
centaurs,NOUN
Africa,NOUN
copy,VERB
Hat,NOUN
KILL,NOUN
crawling,VERB
Neither,CONJ
Bludgers,NOUN
hoping,VERB
trembled,VERB
black-haired,ADJ
scream,NOUN
golf,NOUN
report,NOUN
punch,ADJ
cousin,NOUN
similar,ADJ
oiled,VERB
Come,VERB
Meanwhile,ADV
chasin,NOUN
lemon,NOUN
arriving,NOUN
tangled,ADJ
gray,ADJ
bucket,NOUN
Peeling,VERB
footsteps,VERB
stench,NOUN
Set,NOUN
needle-sharp,ADJ
demands,NOUN
droop,VERB
shook,NOUN
introduce,VERB
boogers,NOUN
dull,NOUN
faded,VERB
entranced,VERB
Houses,NOUN
recited,VERB
board,NOUN
limping,VERB
slope,NOUN
thinnest,ADJ
whizzing,VERB
tears,NOUN
bezoar,NOUN
flailed,VERB
unwrapped,ADJ
fried,ADJ
shouts,NOUN
Hopefully,ADV
redheaded,ADJ
Most,ADJ
vacation,NOUN
maroon,NOUN
Books,NOUN
'Cause,ADP
steadied,VERB
faintest,ADJ
all,VERB
witch,NOUN
some,DET
silver,NOUN
further,ADJ
thinner,NOUN
pasty,NOUN
laugh,NOUN
sunshine,NOUN
ends,VERB
grades,NOUN
THE,DET
hands,NOUN
Lucky,NOUN
slain,VERB
sausage,NOUN
Dumbled,NOUN
thank-you,NOUN
Whinging,NOUN
offhand,NOUN
VOLDEMORT,NOUN
kindly,ADV
watching,NOUN
Erised,ADJ
Did,NOUN
hung,VERB
shove,VERB
mouths,NOUN
marble,ADJ
drip,NOUN
Blimey,NOUN
begging,VERB
refereeing,VERB
lurking,VERB
attractive,ADJ
throats,NOUN
Even,ADV
while,NOUN
